id,Name,titleProject_id,class,score,login,password
156,Квятцева Алла Никитична,138,11в,2,Квятцева_АН,9IxXBRUa
157,Выхухолева Лариса Василевна,384,8б,5,Выхухолева_ЛВ,7XeZDU2x
158,Целохов Андрей Вадимович,433,8и,5,Целохов_АВ,r8sjWTNT
159,Бендин Иван Яковлевич,71,8и,4,Бендин_ИЯ,rw5XV7uT
160,Лазученков Василий Алексеевич,381,7х,2,Лазученков_ВА,vi2aIUWJ
161,Скоропухов Михаил Василиевич,69,10и,3,Скоропухов_МВ,ZdntaZpJ
162,Мухонкин Тарас Романович,126,9и,4,Мухонкин_ТР,qGvZninv
163,Камерцев Владимир Кириллович,303,7а,3,Камерцев_ВК,ui5gKCE6
164,Сандрыкина Анна Олеговна,324,10т,2,Сандрыкина_АО,MOjqNO17
165,Недбайлов Алексей Денисович,15,7т,2,Недбайлов_АД,BtiYtue6
166,Серпков Ярослав Георгиевич,380,10б,4,Серпков_ЯГ,o7DB4hC1
167,Хатшуклов Аркадий Николаевич,42,11т,4,Хатшуклов_АН,MrMDdRId
168,Литвалиева Алиса Егоровна,10,11и,3,Литвалиева_АЕ,Z8S4mOgm
169,Енесина Лиза Валерьевна,293,9б,5,Енесина_ЛВ,mu1rNMqD
170,Пикальков Эдуард Алексиевич,21,8д,5,Пикальков_ЭА,oV4De6wd
171,Сачинский Валентин Кириллович,125,10т,2,Сачинский_ВК,6TaeGeHn
172,Тарзанова Евгения Аркадьевна,96,9д,2,Тарзанова_ЕА,kSfSJkxV
173,Лапундин Юрий Игоревич,267,8и,5,Лапундин_ЮИ,TN32jbvg
174,Личева Лиза Михайловна,453,9б,3,Личева_ЛМ,QrQFtNe9
175,Смароверов Яков Борисович,131,11в,4,Смароверов_ЯБ,EWPClWG7
176,Вереина Алла Василевна,295,10и,3,Вереина_АВ,EDOAwGTs
177,Погиблева Дарья Леонидовна,283,9в,5,Погиблева_ДЛ,fC38Xi8v
178,Байнова Анастасия Вадимовна,363,7б,3,Байнова_АВ,p5WUBfRk
179,Шиловский Вячеслав Максимович,438,9и,4,Шиловский_ВМ,ho1bADda
180,Сыждиков Пётр Василиевич,494,11х,5,Сыждиков_ПВ,QcF3SvNV
181,Каценова Алёна Эдуардовна,165,11т,2,Каценова_АЭ,2lT66uSV
182,Мужицких Ева Олеговна,348,8х,3,Мужицких_ЕО,QXbt1NBG
183,Плеснецов Степан Юрьевич,22,10а,2,Плеснецов_СЮ,OtDhdQoS
184,Игумнова Алёна Сергеевна,114,9д,4,Игумнова_АС,2kKmyXre
185,Хадаров Владимир Валериевич,278,11т,5,Хадаров_ВВ,k2FrXvjQ
186,Ступакова Кира Ивановна,421,8и,3,Ступакова_КИ,xUvOaxCD
187,Шоленинов Федор Максимович,286,11т,4,Шоленинов_ФМ,CU9dWHZ3
188,Гундаров Руслан Николаевич,158,9д,4,Гундаров_РН,qsBsE6KA
189,Гречишева Марина Андреевна,464,7д,2,Гречишева_МА,9P8pPX95
190,Утилова Алена Андреевна,253,11д,3,Утилова_АА,oLJ491F9
191,Роткичева Алиса Максимовна,410,10а,4,Роткичева_АМ,4VhiTI9f
192,Колтышева Марина Вадимовна,87,11г,4,Колтышева_МВ,iyhcGUkB
193,Гурычева Лариса Валерьевна,489,9б,2,Гурычева_ЛВ,tP6JuBcl
194,Горцева Кристина Никитична,246,8и,4,Горцева_КН,lAmfsi6G
195,Кутурин Геннадий Денисович,197,9в,2,Кутурин_ГД,OQaOL94N
196,Стефанков Яков Евгеньевич,318,10г,3,Стефанков_ЯЕ,iTEv14Uw
197,Множина Людмила Василевна,90,8б,2,Множина_ЛВ,3t4ymEQJ
198,Семисалов Георгий Иванович,316,9в,3,Семисалов_ГИ,JLYlRyV6
199,Рогалов Альберт Валериевич,327,9б,2,Рогалов_АВ,1o1ACToP
200,Черетаева Анастасия Олеговна,341,9б,2,Черетаева_АО,QKtWe9Mi
201,Радоминова Любовь Игоревна,25,9и,5,Радоминова_ЛИ,oejd1MVK
202,Шувырина Лиза Андреевна,395,9а,5,Шувырина_ЛА,EgusykqO
203,Калиженков Семён Алексеевич,401,11а,4,Калиженков_СА,IK4bjQHY
204,Старокашин Константин Петрович,309,10а,3,Старокашин_КП,IXAL1sbt
205,Малтоцов Аркадий Яковлевич,218,8а,3,Малтоцов_АЯ,ApGoInQ4
206,Кузеванова Ева Егоровна,116,7д,2,Кузеванова_ЕЕ,682lKrSR
207,Нурулина Алёна Егоровна,284,9х,2,Нурулина_АЕ,dGy4tu9h
208,Лератов Герасим Сергеевич,374,10а,4,Лератов_ГС,RDmsdTsw
209,Людин Руслан Аркадиевич,498,7и,3,Людин_РА,ase5MpVd
210,Пурин Виктор Данилович,154,8и,5,Пурин_ВД,zLvZIvmT
211,Лютов Виктор Юрьевич,288,11г,2,Лютов_ВЮ,ZWCuNSJ9
212,Марюшкина Яна Федоровна,345,10д,5,Марюшкина_ЯФ,pAvsXDPu
213,Томилова Кристина Михайловна,492,11б,3,Томилова_КМ,Whz2CVAI
214,Дистерев Валерий Валериевич,24,7г,3,Дистерев_ВВ,z54cvTXj
215,Дочкин Геннадий Алексиевич,52,11и,5,Дочкин_ГА,GNseHi1N
216,Иняхин Руслан Сергеевич,234,7и,5,Иняхин_РС,ZSqKRACk
217,Знайкова Раиса Егоровна,148,11х,3,Знайкова_РЕ,WxqR7fUw
218,Кашавцев Аркадий Леонидович,58,7а,4,Кашавцев_АЛ,7ICcoDJu
219,Пятернина Кристина Андреевна,445,7и,2,Пятернина_КА,KzmGAyIU
220,Гусеева Карина Викторовна,263,9и,2,Гусеева_КВ,9weBurzg
221,Кастева Яна Сергеевна,108,7и,2,Кастева_ЯС,lHmQb9GL
222,Гришанин Тарас Павлович,113,10т,2,Гришанин_ТП,9OZ2cJW2
223,Грамоткин Илья Викторович,195,8д,5,Грамоткин_ИВ,mpApVIDh
224,Мелисин Геннадий Василиевич,465,10г,2,Мелисин_ГВ,XcoGGjyr
225,Цинина Светлана Яковлевна,105,11г,5,Цинина_СЯ,nqbWklmG
226,Петов Георгий Адамович,57,9а,2,Петов_ГА,Enu4q9EC
227,Реева Валентина Максимовна,146,11и,5,Реева_ВМ,HKqK22rZ
228,Слесивых Мария Аркадьевна,35,7и,5,Слесивых_МА,gRT9aSUs
229,Афтаева Полина Ивановна,193,10д,5,Афтаева_ПИ,LaLKULK2
230,Кривицкий Валентин Виталиевич,208,8х,5,Кривицкий_ВВ,vVcB5qDL
231,Чубатов Константин Леонидович,279,11а,4,Чубатов_КЛ,WHxVITEv
232,Партенков Геннадий Павлович,418,8х,3,Партенков_ГП,tEnTKOn3
233,Черушев Григорий Борисович,84,7г,4,Черушев_ГБ,nqE9jkrA
234,Тютекин Георгий Тимофеевич,262,7а,2,Тютекин_ГТ,t1dLBU38
235,Янкевский Вячеслав Адамович,167,11г,4,Янкевский_ВА,3IbO1dNP
236,Сухручкина Клавдия Аркадьевна,177,7в,4,Сухручкина_КА,R5mbcWbF
237,Конофалова Клара Петровна,95,11д,5,Конофалова_КП,ArRDvT5o
238,Лигасов Михаил Павлович,491,11г,4,Лигасов_МП,WhCmDd9F
239,Писарьков Альберт Игоревич,313,8в,4,Писарьков_АИ,nI1sG2bV
240,Варов Кирилл Иванович,28,8а,5,Варов_КИ,zuvsBmqV
241,Пурынов Евгений Петрович,244,9и,3,Пурынов_ЕП,SYO2J28m
242,Супрутская Вероника Викторовна,187,9а,2,Супрутская_ВВ,a1zKtdbC
243,Скроцкая Алина Федоровна,127,8г,3,Скроцкая_АФ,ZioHGkyg
244,Барадулин Вадим Юрьевич,281,11х,3,Барадулин_ВЮ,VHaRxNyI
245,Точилин Дмитрий Фёдорович,476,8а,2,Точилин_ДФ,DzHdrekI
246,Бикмуллин Руслан Валериевич,333,11т,2,Бикмуллин_РВ,Y4SemZOT
247,Серпичев Василий Алексиевич,394,10х,5,Серпичев_ВА,kK5KAgmm
248,Вострышев Яков Аркадиевич,343,8г,5,Вострышев_ЯА,xujZW8bB
249,Грушчева София Евгеньевна,480,11в,None,Грушчева_СЕ,2pdsPWWB
250,Кулапов Александр Юрьевич,109,9б,5,Кулапов_АЮ,gs2e2xwo
251,Чибисенков Владислав Фёдорович,375,8х,3,Чибисенков_ВФ,2et8Uz3M
252,Утилов Роман Василиевич,254,9х,2,Утилов_РВ,WK2YYv6W
253,Татаурова Галина Федоровна,145,10т,4,Татаурова_ГФ,u6W7JTBD
254,Визавитина Наталия Леонидовна,101,10г,2,Визавитина_НЛ,o2tnx957
255,Мягченков Артём Денисович,115,7б,4,Мягченков_АД,WrxSgNlq
256,Брикова Инна Богдановна,256,9б,4,Брикова_ИБ,X7UB6pkW
257,Наторкин Валентин Данилович,319,7и,2,Наторкин_ВД,crSKHl39
258,Эштрекова Софья Алексеевна,76,9в,3,Эштрекова_СА,qZhSKUTz
259,Кутаманова Кира Андреевна,182,10т,2,Кутаманова_КА,feIFqwXc
260,Кыштымова Евгения Эдуардовна,255,8в,5,Кыштымова_ЕЭ,Jnz8JICI
261,Ккнязева Клавдия Дмитриевна,34,7б,5,Ккнязева_КД,TC5FASjl
262,Глаголина Алиса Никитична,249,9д,2,Глаголина_АН,nuynC3iA
263,Рисина Раиса Валерьевна,451,10а,4,Рисина_РВ,jdL8vcpL
264,Ребров Алексей Георгиевич,289,8и,3,Ребров_АГ,3OPj4DWj
265,Вырысалова Александра Евгеньевна,39,11и,2,Вырысалова_АЕ,sNbYLDm5
266,Гомольский Владимир Юриевич,314,11х,5,Гомольский_ВЮ,7cwROw4I
267,Швинова Марина Федоровна,271,8г,5,Швинова_МФ,oLFobKNd
268,Рудковская Инна Дмитриевна,6,7т,3,Рудковская_ИД,QHUuvMAp
269,Решеткина Дарья Василевна,408,10и,3,Решеткина_ДВ,UUFWAstY
270,Евстихеев Игорь Василиевич,422,10х,5,Евстихеев_ИВ,DkOTnDBz
271,Лазарина Алёна Федоровна,161,8б,3,Лазарина_АФ,2NJseLf5
272,Гляченков Григорий Николаевич,431,10а,5,Гляченков_ГН,FQ6RADh3
273,Чардынцева Алина Вадимовна,135,10д,3,Чардынцева_АВ,Hngp9XEm
274,Скаредов Яков Иванович,337,9т,5,Скаредов_ЯИ,StEq1Akz
275,Юрицкий Эдуард Денисович,192,7д,3,Юрицкий_ЭД,WVRC1Xje
276,Кравчина Светлана Аркадьевна,413,11г,5,Кравчина_СА,Mzv2APzk
277,Чмареткова Полина Вадимовна,449,10а,2,Чмареткова_ПВ,mgPfHCCN
278,Углова Галина Романовна,260,9г,3,Углова_ГР,LiYHSCjP
279,Згуровская Виктория Андреевна,220,9т,4,Згуровская_ВА,qMJKOFOC
280,Секерский Станислав Сергеевич,235,10а,4,Секерский_СС,ymUTbBFh
281,Жевайкин Евгений Адамович,86,11г,3,Жевайкин_ЕА,dRCgJHsi
282,Коточигов Семён Игоревич,26,9д,5,Коточигов_СИ,l4fRyAJd
283,Калонин Альберт Денисович,297,8б,2,Калонин_АД,TcDLXe6J
284,Валягин Григорий Антонович,94,10в,4,Валягин_ГА,zyjfFc1z
285,Коцева Кристина Николаевна,412,9г,3,Коцева_КН,pJ3PIbYt
286,Голина Кристина Максимовна,3,7х,3,Голина_КМ,PPsl3nfj
287,Батрамеев Анатолий Романович,354,9х,3,Батрамеев_АР,LsY6eT1V
288,Чикмарев Валентин Валериевич,306,9и,5,Чикмарев_ВВ,6FwHCwxb
289,Киницына Валерия Олеговна,202,7х,4,Киницына_ВО,mTAaO14D
290,Числин Юрий Денисович,121,7в,2,Числин_ЮД,E1W1rTwN
291,Стебунова Юлия Романовна,358,9т,3,Стебунова_ЮР,6yGM7pHH
292,Кацов Павел Павлович,236,10г,5,Кацов_ПП,onsZYlIJ
293,Гоцев Тарас Викторович,41,8в,3,Гоцев_ТВ,brq4BAP9
294,Мотовицкий Роман Аркадиевич,31,11и,5,Мотовицкий_РА,7iZLDxDP
295,Чурзина Клара Егоровна,308,10б,3,Чурзина_КЕ,3MRnrPoT
296,Щепалкина Валерия Сергеевна,134,9б,4,Щепалкина_ВС,v7ZfN4yH
297,Утимишев Ярослав Игоревич,239,11а,3,Утимишев_ЯИ,ELAuCz6f
298,Алуханов Кирилл Фёдорович,298,7т,2,Алуханов_КФ,RRNi3zps
299,Полунеев Валентин Валериевич,307,8и,2,Полунеев_ВВ,hQvlvSny
300,Крупенова Наталия Андреевна,209,7в,5,Крупенова_НА,jnygF32F
301,Корнюшин Илья Юрьевич,44,10т,3,Корнюшин_ИЮ,2Ok5J8pX
302,Паушева Виолетта Никитична,310,8г,4,Паушева_ВН,Kukzm95w
303,Берзин Герасим Антонович,349,11т,5,Берзин_ГА,96zHwN4Z
304,Шулунова Алла Алексеевна,54,7д,4,Шулунова_АА,7ROXL8KW
305,Трепашова София Яковлевна,399,11а,2,Трепашова_СЯ,M566kaGu
306,Чумейкин Константин Антонович,8,8б,5,Чумейкин_КА,ubpgqzVt
307,Польшиков Денис Игоревич,495,9и,2,Польшиков_ДИ,MzneKzrS
308,Медоусова Жанна Романовна,252,7б,2,Медоусова_ЖР,eZOxfuV8
309,Акуратова Клавдия Андреевна,92,9г,5,Акуратова_КА,W4UvMZju
310,Курмеева Елизавета Валерьевна,486,8а,5,Курмеева_ЕВ,oxzhQF8L
311,Бадов Александр Аркадиевич,217,10г,3,Бадов_АА,qZexqVlD
312,Бакушин Эдуард Адамович,265,7б,5,Бакушин_ЭА,3Hb86lm9
313,Чебина Инна Сергеевна,273,10т,2,Чебина_ИС,ixbT2Ipy
314,Подледнова Наталья Ивановна,112,11и,3,Подледнова_НИ,IgV9u3U8
315,Садгеева Лиза Евгеньевна,460,11г,3,Садгеева_ЛЕ,9WDEfCTF
316,Акушин Борис Павлович,493,9т,2,Акушин_БП,6gic2C4w
317,Аришев Руслан Кириллович,379,10т,3,Аришев_РК,pJQRkk7W
318,Гуслова Кристина Олеговна,389,9в,2,Гуслова_КО,es1F63Lt
319,Глоточкина Оксана Аркадьевна,370,9и,5,Глоточкина_ОА,cGR1jrSt
320,Шапина Маргарита Романовна,163,8б,5,Шапина_МР,45NsZjnI
321,Дурылин Георгий Валериевич,261,11т,4,Дурылин_ГВ,a68A4nOa
322,Болкисева Анна Викторовна,248,7х,4,Болкисева_АВ,jnyGgRvW
323,Багапов Вячеслав Сергеевич,99,7д,4,Багапов_ВС,iYIZRP9h
